m,m,C,m,C
TILTED CENTERLINE-y,TILTED CENTERLINE-z,TILTED CENTERLINE,STRAIGHT CENTERLINE-y,STRAIGHT CENTERLINE
 0.0000000E+000, 2.9990000E-001, 8.5262627E+002, 0.0000000E+000, 8.5262627E+002
 4.2372881E-003, 3.0056102E-001, 1.0442824E+003, 4.2372881E-003, 8.5262627E+002
 8.4745763E-003, 3.0112203E-001, 1.0442824E+003, 8.4745763E-003, 8.5262627E+002
 1.2711864E-002, 3.0168305E-001, 1.0614992E+003, 1.2711864E-002, 9.0081376E+002
 1.6949153E-002, 3.0224407E-001, 1.0614992E+003, 1.6949153E-002, 9.0081376E+002
 2.1186441E-002, 3.0280508E-001, 1.0775906E+003, 2.1186441E-002, 9.4181347E+002
 2.5423729E-002, 3.0336610E-001, 1.0775906E+003, 2.5423729E-002, 9.4181347E+002
 2.9661017E-002, 3.0392712E-001, 1.0775906E+003, 2.9661017E-002, 9.4181347E+002
 3.3898305E-002, 3.0448814E-001, 1.0923188E+003, 3.3898305E-002, 9.7676590E+002
 3.8135593E-002, 3.0504915E-001, 1.0923188E+003, 3.8135593E-002, 9.7676590E+002
 4.2372881E-002, 3.0561017E-001, 1.1043908E+003, 4.2372881E-002, 1.0068853E+003
 4.6610169E-002, 3.0617119E-001, 1.1043908E+003, 4.6610169E-002, 1.0068853E+003
 5.0847458E-002, 3.0673220E-001, 1.1138726E+003, 5.0847458E-002, 1.0337607E+003
 5.5084746E-002, 3.0729322E-001, 1.1138726E+003, 5.5084746E-002, 1.0337607E+003
 5.9322034E-002, 3.0785424E-001, 1.1138726E+003, 5.9322034E-002, 1.0337607E+003
 6.3559322E-002, 3.0841525E-001, 1.1203810E+003, 6.3559322E-002, 1.0578083E+003
 6.7796610E-002, 3.0897627E-001, 1.1203810E+003, 6.7796610E-002, 1.0578083E+003
 7.2033898E-002, 3.0953729E-001, 1.1260026E+003, 7.2033898E-002, 1.0811778E+003
 7.6271186E-002, 3.1009831E-001, 1.2929286E+003, 7.6271186E-002, 1.0811778E+003
 8.0508475E-002, 3.1065932E-001, 1.2885360E+003, 8.0508475E-002, 1.1040356E+003
 8.4745763E-002, 3.1122034E-001, 1.2885360E+003, 8.4745763E-002, 1.1040356E+003
 8.8983051E-002, 3.1178136E-001, 1.2885360E+003, 8.8983051E-002, 1.1040356E+003
 9.3220339E-002, 3.1234237E-001, 1.2809751E+003, 9.3220339E-002, 1.1269142E+003
 9.7457627E-002, 3.1290339E-001, 1.2809751E+003, 9.7457627E-002, 1.1269142E+003
 1.0169492E-001, 3.1346441E-001, 1.2711566E+003, 1.0169492E-001, 1.1502975E+003
 1.0593220E-001, 3.1402542E-001, 1.2711566E+003, 1.0593220E-001, 1.1502975E+003
 1.1016949E-001, 3.1458644E-001, 1.2600320E+003, 1.1016949E-001, 1.1746256E+003
 1.1440678E-001, 3.1514746E-001, 1.2600320E+003, 1.1440678E-001, 1.1746256E+003
 1.1864407E-001, 3.1570847E-001, 1.2600320E+003, 1.1864407E-001, 1.1746256E+003
 1.2288136E-001, 3.1626949E-001, 1.2484282E+003, 1.2288136E-001, 1.2000437E+003
 1.2711864E-001, 3.1683051E-001, 1.2484282E+003, 1.2711864E-001, 1.2000437E+003
 1.3135593E-001, 3.1739153E-001, 1.2364259E+003, 1.3135593E-001, 1.2260961E+003
 1.3559322E-001, 3.1795254E-001, 1.2364259E+003, 1.3559322E-001, 1.2260961E+003
 1.3983051E-001, 3.1851356E-001, 1.2364259E+003, 1.3983051E-001, 1.2260961E+003
 1.4406780E-001, 3.1907458E-001, 1.2249346E+003, 1.4406780E-001, 1.2519182E+003
 1.4830508E-001, 3.1963559E-001, 1.2249346E+003, 1.4830508E-001, 1.2519182E+003
 1.5254237E-001, 3.2019661E-001, 1.2835870E+003, 1.5254237E-001, 1.2753387E+003
