s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K
Time,"GHF","THF","CHF","IHF","HTC"
   0.00,  -0.00,  -0.00,   0.00,   0.42,   0.00
  10.00,  28.44,  22.30,   3.98,  24.27,   6.00
  20.00,  29.88,  22.35,   3.91,  25.41,   6.25
  30.00,  28.98,  20.79,   3.52,  24.71,   6.12
  40.00,  30.34,  20.46,   3.27,  26.07,   5.90
  50.00,  29.91,  18.98,   3.02,  25.74,   5.77
  60.00,  29.44,  18.32,   2.91,  25.35,   5.73
  70.00,  29.75,  17.92,   2.88,  25.62,   5.63
  80.00,  30.00,  17.47,   2.81,  25.85,   5.67
  90.00,  28.87,  15.48,   2.46,  24.99,   5.54
 100.00,  28.36,  14.09,   2.29,  24.55,   5.50
 110.00,  28.90,  13.97,   2.35,  24.96,   5.53
 120.00,  31.99,  15.15,   2.64,  27.58,   5.68
 130.00,  30.11,  13.53,   2.35,  26.01,   5.60
 140.00,  31.53,  14.14,   2.55,  27.16,   5.70
 150.00,  31.86,  13.98,   2.52,  27.46,   5.73
 160.00,  30.97,  13.28,   2.45,  26.65,   5.70
 170.00,  34.02,  15.11,   2.77,  29.27,   5.85
 180.00,  31.61,  12.94,   2.52,  27.12,   5.79
 190.00,  30.10,  12.22,   2.28,  25.94,   5.68
 200.00,  32.34,  13.47,   2.60,  27.75,   5.81
 210.00,  33.91,  13.11,   2.74,  28.97,   5.98
 220.00,  32.28,  11.93,   2.43,  27.72,   5.86
 230.00,  29.46,   9.80,   2.16,  25.21,   5.78
 240.00,  30.44,  10.11,   2.14,  26.17,   5.81
 250.00,  33.39,  11.23,   2.59,  28.47,   6.03
 260.00,  34.18,  11.10,   2.68,  29.09,   6.10
 270.00,  31.15,   8.93,   2.24,  26.59,   5.95
 280.00,  32.93,   9.67,   2.43,  28.08,   6.05
 290.00,  30.71,   8.42,   2.12,  26.27,   5.92
 300.00,  31.44,   9.05,   2.23,  26.87,   5.96
 310.00,  29.82,   7.93,   2.02,  25.52,   5.88
 320.00,  30.11,   8.31,   2.07,  25.77,   5.89
 330.00,  30.57,   8.34,   2.17,  26.09,   5.93
 340.00,  33.27,   9.78,   2.49,  28.33,   6.08
 350.00,  32.28,   8.58,   2.29,  27.54,   6.04
 360.00,  30.73,   8.00,   2.06,  26.32,   5.94
 370.00,  33.12,   9.25,   2.44,  28.21,   6.09
 380.00,  32.25,   8.52,   2.24,  27.56,   6.03
 390.00,  31.91,   8.22,   2.27,  27.18,   6.05
 400.00,  34.02,   9.18,   2.59,  28.85,   6.19
 410.00,  33.93,   9.15,   2.55,  28.81,   6.17
 420.00,  33.13,   8.46,   2.35,  28.24,   6.11
 430.00,  32.46,   8.23,   2.45,  27.48,   6.13
 440.00,  31.78,   7.87,   2.20,  27.11,   6.05
 450.00,  29.79,   7.03,   1.98,  25.45,   5.92
 460.00,  34.05,   9.13,   2.55,  28.93,   6.18
 470.00,  34.96,   9.26,   2.68,  29.63,   6.25
 480.00,  33.61,   8.49,   2.40,  28.63,   6.15
 490.00,  31.97,   7.54,   2.24,  27.20,   6.08
 500.00,  34.52,   8.81,   2.52,  29.36,   6.21
